,,Spelling Error Legend:,Needs !? or .,Double blanks,Double blank?,"and and, the the"
build_placement_tooltip_fertility,Производительность,,,,,
build_placement_tooltip_resource_satisfaction,Производительность,,,,,
build_placement_tooltip_not_over_pit,Разместите над открытой Ямой.,,,,,
build_placement_tooltip_pillar_info,Лучшее средство против обвалов. <br><br>Поместите его рядом с падающими обломками для обеспечения поддержки.,,,,,
build_placement_tooltip_blocked_by_hive,Заблокировано роем,,,,,
blueprint_construction_tooltip_missing_parts,Установка должна производиться механиком!,,,,,
,,,,,,
attention_icon_tooltip_factory_full_output,Это Здание переполнено!,,,,,
attention_icon_tooltip_factory_missing_input,Это Здание ожидает поставки Ресурсов!,,,,,
attention_icon_detail_factory_missing_input,"Это Здание ожидает поставки Ресурсов для начала производства!<br>Убедитесь, что вы производите необходимые ресурсы!",,,,,
attention_icon_tooltip_not_connected_to_mineshaft,Это здание не соединено дорогой с железнодорожной станцией!,,,,,
attention_icon_detail_not_connected_to_mineshaft,"Это здание не связано с железнодорожным вокзалом<br>дорогой. Используйте инструмент Дорога, чтобы соединить его.",,,,,
attention_icon_tooltip_not_connected_to_warehouse,Это Здание не связано со складом!,,,,,
attention_icon_detail_not_connected_to_warehouse,Данное здание находится вне радиуса действия Склада. <br>Оно не может доставить свои товары. Убедитесь что у него есть доступ к Складу!,,,,,
attention_icon_tooltip_radar_hazard,Радар обнаружил угрозу!,,,,,
attention_icon_detail_radar_hazard,"Ваши сенсоры засекли Угрозу! Убедитесь, что вы готовы противостоять им, наняв Гвардейцев или построив Турели.",,,,,
attention_icon_tooltip_radar_resource,Радар обнаружил Ресурс!,,,,,
attention_icon_detail_radar_resource,"Ваш радар обнаружил ресурсную жилу. Доберитесь до нее, чтобы добыть ресурсы!",,,,,
attention_icon_tooltip_radar_rocket_part,Радар обнаружил деталь Ракеты!,,,,,
attention_icon_detail_radar_rocket_part,"Ваш радар обнаружил деталь Ракеты. Доберитесь до нее, чтобы вы могли ее раскопать.!",,,,,
attention_icon_tooltip_radar_hard_floor,Радар обнаружил участок плодородной почвы!,,,,,
attention_icon_detail_radar_hard_floor,"Ваш радар обнаружил участок плодородной почвы. Достигните его, чтобы построить там фермы!",,,,,
attention_icon_tooltip_unhappy_attention,Низкий уровень удовлетворенности!,,,,,
attention_icon_detail_unhappy_attention,Низкий уровень удовлетворенности! Удовлетворяйте их потребности!,,,,,
attention_icon_tooltip_upgrade_requirements_met,Вы можете улучшить это здание!,,,,,
attention_icon_tooltip_upgrade_requirements_not_met,Требования к улучшению не выполнены!,,,,,
attention_icon_tooltip_mining_resource,Эта ресурсная жила может быть добыта!,,,,,
attention_icon_detail_mining_resource,Эта ресурсная жила может быть добыта! Пометьте его с помощью копательного инструмента<br>или поместите рядом с ним добытчик соответствующего типа.,,,,,
attention_icon_detail_cannot_mine_resource,"Для рытья такой почвы необходимы более совершенные инструменты. Вы можете создать <br>кирки и твердосплавные сверла в городе при достижении определенного Майлстоуна.",,,,,
attention_icon_tooltip_warehouse_queue,Слишком много поставок для этого склада.,,,,,
attention_icon_detail_warehouse_queue,Склад перегружен. Наращивание большего количества складов поблизости позволит осуществлять больше поставок.,,,,,
attention_icon_tooltip_city_storage_full,Городское хранилище для этого ресурса заполнено.,,,,,
attention_icon_detail_city_storage_full,Городское хранилище не может больше вместить этот ресурс. Подумайте о том чтобы обменять его на железнодорожной станции на что-нибудь другое.,,,,,
attention_icon_tooltip_building_paused,Производство приостановлено!,,,,,
attention_icon_tooltip_rocket_ready_to_launch,Ракета готова к взлету!,,,,,
attention_icon_tooltip_item_drop,Новый предмет!,,,,,
attention_icon_tooltip_building_damaged,[OUTDATED]This building has been damaged by Instability!,,,,,
attention_icon_tooltip_door_closed,[OUTDATED]This gate is locked. Right click to unlock it!,,,,,
attention_icon_tooltip_door_open,[OUTDATED]This gate is unlocked. Right click to lock it!,,,,,
attention_icon_tooltip_click_chest_to_open,"Взаимодействуйте с сундуком, чтобы открыть его!",,,,,
attention_icon_tooltip_chest_is_undiscovered,У вас нет прямого доступа к этому сундуку!,,,,,
attention_icon_tooltip_resource_drop,"Взаимодействуйте с лежащими ресурсами, чтобы забрать их!",,,,,
attention_icon_tooltip_room_separate_from_mineshaft,У этой станции нет доступа к шахте!,,,,,
attention_icon_detail_room_separate_from_mineshaft,Эта комната отделена от Шахты! Вам нужно будет соединить ее расчистив прямой путь к Шахте.,,,,,
attention_icon_tooltip_room_too_small,Станция слишком мала для эксплуатации!,,,,,
attention_icon_detail_room_too_small,"Станция слишком мала для эксплуатации! Станция должна быть не менее 9<br>плиток для обеспечения каких-либо работ. Чем больше помещение тем больше оно обеспечивает!",,,,,
attention_icon_tooltip_miner_replicator,[OUTDATED]Miner Replicator Room,,,,,
attention_icon_tooltip_oil_refinery,Комната Нефтепереработки,,,,,
attention_icon_tooltip_sickbay,Лазарет,,,,,
attention_icon_tooltip_surveillance_room,Наблюдательный пункт,,,,,
attention_icon_tooltip_workshop,Мастерская,,,,,
attention_icon_tooltip_broken_train_station,Это здание разрушено и заброшено.<br>Вы должны отремонтировать его!,,,,,
attention_icon_tooltip_low_workforce_tier_1,Нам нужно больше рабочих!,,,,,
attention_icon_detail_low_workforce_tier_1,Недостаточное количество рабочих. <br>Рассмотрите возможность строительства большего количества жилых зданий для рабочих.,,,,,
attention_icon_tooltip_low_workforce_tier_2,Нам нужно больше инженеров!,,,,,
attention_icon_detail_low_workforce_tier_2,Недостаточное количество инженеров. <br> Рассмотрите возможность строительства большего количества жилых зданий для инженеров.,,,,,
attention_icon_tooltip_low_workforce_tier_3,Нам нужно больше аристоботов!,,,,,
attention_icon_detail_low_workforce_tier_3,У нас недостаточно аристоботов. <br>Рассмотрите возможность строительства большего количества жилищ для аристоботов.,,,,,
attention_icon_tooltip_low_workforce_tier_4,Нам нужно больше учёных!,,,,,
attention_icon_detail_low_workforce_tier_4,У нас недостаточно учёных. <br>Рассмотрите возможность строительства большего количества жилищ для учёных.,,,,,
attention_text_value_proximity_resource,{0} Производительность,,,,,
attention_text_value_steam_efficiency_increase,+{0} Эффективность,,,,,
attention_text_tooltip_unearthing_dig_tool,"Используйте инструмент раскопок, чтобы начать раскопки детали ракеты. <br>Шахтеры доберутся до места и начнут процесс.",,,,,
attention_text_tooltip_unearthing_not_enough_diggers,Недостаточно шахтеров!,,,,,
attention_text_tooltip_unearthing_out_of_range,У вас нет возможности для начала раскопок детали ракеты!,,,,,
attention_text_tooltip_unearthing_complete,"Взаимодействуйте с деталью ракеты, чтобы получить ее!",,,,,
attention_text_tooltip_pickup_box_full,The Pickup Box is full!,,,,,
attention_icon_tooltip_machine_unsupported,Недостаточная мощность! Постройте больше {0} для поддержания этой Машины.,,,,,
attention_icon_tooltip_machine_broken,"Машина нуждается в ремонте! Убедитесь, что у вас есть<br>станция механиков для её содержания!",,,,,
attention_icon_tooltip_no_fields,На этой ферме нет полей!,,,,,
attention_icon_detail_no_fields,Для функционирования ферм необходимы поля. Выберите здание и нажмите кнопку<br>Разместить поля. Поля должны быть расположены рядом с фермой.,,,,,
attention_icon_tooltip_low_resource_satisfaction,Низкая Производительность,,,,,
attention_icon_detail_low_resource_satisfaction,"Это здание имеет низкую Производительность. Выберите инструмент Перемещения на панели инструментов<br>и перемещайте его до тех пор, пока значение производительности не приблизится к 100%.",,,,,
attention_icon_tooltip_quarter_separate_from_mineshaft,Эта станция не имеет доступа к шахте!,,,,,
attention_icon_tooltip_enemy_spawned,Здесь появится враг!,,,,,
attention_icon_detail_enemy_spawned,"Враг появился! Подготовьте свои оборонительные сооружения и<br> убедитесь, что он не достигнет ваших машин и шахтеров!",,,,,
attention_icon_tooltip_hive_active,Этот улей собирается нападать!,,,,,
attention_icon_detail_hive_active,Этот улей собирается нападать! Он пошлет полчища врагов<br> в считанные минуты!,,,,,
attention_icon_tooltip_puzzle_door_closed,Эта дверь заперта,,,,,
attention_icon_detail_puzzle_door_closed,"Эта дверь заперта. Следуйте по цветным проводам <br>чтобы найти рычаги, которые откроют её.",,,,,
attention_icon_tooltip_pull_lever,"Взаимодействуйте с рычагом, чтобы потянуть его.",,,,,
attention_icon_detail_pull_lever,"Взаимодействуйте с рычагом, чтобы потянуть его. Потянув за рычаги, можно разблокировать подключенные к ним двери. Следуйте по цветным кабелям, чтобы найти дверь.",,,,,
attention_icon_tooltip_door_unlocked,Открыто,,,,,
attention_icon_detail_door_unlocked,"Вы разблокировали часть замкового механизма! Обязательно потяните за каждый рычаг, относящийся к цветным кабелям, чтобы открыть дверь.",,,,,
attention_icon_tooltip_guard_door,Дверь для Гвардии,,,,,
attention_icon_detail_guard_door,"Подобные двери могут быть разрушены только Гвардейцами. Выберите инструмент раскопок и отметьте дверь, чтобы открыть ее. После этого Гвардеец поспешит разрушить ее, если есть возможность.",,,,,
attention_icon_tooltip_guard_door_guards_required,"Чтобы прорваться через эту Дверь, требуются Гвардейцы!",,,,,
attention_icon_tooltip_guard_door_guards_working,Гвардейцы ломятся в дверь.,,,,,
attention_icon_tooltip_guard_door_guards_incoming,Гвардейцы уже в пути!,,,,,
attention_icon_tooltip_astrodrome,Космодром,,,,,
attention_icon_detail_astrodrome,Получите все детали Ракеты в шахте <br>для завершения строительства.,,,,,
,,,,,,
save_data_playstation_message_storage_full,Save failed! There is not enough space left in Save Data! Delete an old file and try again!,,,,,
,,,,,,
save_data_xbox_storage_full_header,There is not enough space to make another Save!,,,,,
save_data_xbox_storage_full_desc,Storage Left: {0} MB\nStorage Needed: {1} MB\nDelete an old Save and try again!,,,,,
save_data_xbox_storage_full_button,OK,,,,,
,,,,,,
notification_info_miner_killed,Шахтер выведен из строя!,,,,,
notification_info_prospector_killed,Исследователь выведен из строя!,,,,,
notification_info_mechanic_killed,Механик выведен из строя!,,,,,
notification_info_guard_killed,Гвардеец выведен из строя!,,,,,
notification_info_machine_destroyed,Машина вывещена из строя!,,,,,
notification_info_enemy_found,Новый Враг появился!,,,,,
notification_info_new_machine,Машина Сооружена!,,,,,
notification_info_resource_found,Обнаружен {0}!,,,,,
notification_info_train_arrive,Поезд Прибывает на Станцию!,,,,,
notification_info_new_milestone,Достигнут {0},,,,,
notification_info_unearthing_complete,Раскопки детали Ракеты завершены!,,,,,
notification_info_citizen_class_upgrade_ready,{0} готовы к Улучшению!,,,,,
notification_info_adventure_can_continue,[OUTDATED]An Adventure can be continued!,,,,,
notification_info_adventure_site_found,[OUTDATED]A new Adventure site found!,,,,,
notification_info_not_afford_trade,Не можем позволить себя все Сделки!,,,,,
notification_info_unearthing_found,Новая деталь Ракеты найденна!,,,,,
notification_info_carriers_overworked,Ваши Исследователи перегружены работой на этаже {0}!,,,,,
notification_info_hive_spawned_enemy,Улей породил нового Врага!,,,,,
notification_info_attack_start_floor_1,Улей готовится атаковать этаж 1!,,,,,
notification_info_attack_start_floor_2,Улей готовится атаковать этаж 2!,,,,,
notification_info_attack_start_floor_3,Улей готовится атаковать этаж 3!,,,,,
notification_info_attack_end_floor_1,Улей атакует этаж 1!,,,,,
notification_info_attack_end_floor_2,Улей атакует этаж 2!,,,,,
notification_info_attack_end_floor_3,Улей атакует этаж 3!,,,,,
notification_info_too_few_prospectors,Слишком мало Исследователей для эффективного выполнения задач!,,,,,
notification_info_miner_left_due_to_capacity,Шахтер ушел из-за недостаточного размера станции!,,,,,
notification_info_prospector_left_due_to_capacity,Исследователь ушел из-за недостаточного размера станции!,,,,,
notification_info_mechanic_left_due_to_capacity,Механик ушел из-за недостаточного размера станции!,,,,,
notification_info_guard_left_due_to_capacity,Гвардеец ушел из-за недостаточного размера станции!,,,,,
notification_info_rocket_ready_to_launch,Ракета готова к запуску!,,,,,
notification_info_enemy_creep_found,Жуть обнаружена!,,,,,
notification_info_worm_found,Рой обанружен!,,,,,
notification_info_gold_negative,Терям Деньги!,,,,,
,,,,,,
train_window_header,Железнодорожная Станция,,,,,
train_window_next_train_arrival,Магазин обновится при следующем прибытии поезда : {0},,,,,
train_window_no_trades,Нет текущих сделок,,,,,
train_window_trades_explec_default,Сделки будут завершены по прибытии поезда,,,,,
train_window_trades_explec_new_trade,"Выберите, чтобы добавить сделку",,,,,
train_window_trades_explec_edit_trade,Выберите для изменения сделки,,,,,
train_window_trade_header,Торговля,,,,,
train_window_trade_header_desc,Выбранные ресурсы будут продаваться и покупаться каждый раз когда прибывает поезд,,,,,
train_window_shop_header,Магазин предметов,,,,,
train_window_shop_header_desc,Предметы можно использовать для повышения зданий,,,,,
train_window_ongoing_trades,Текущие сделки,,,,,
train_window_trade_select_buy,Выберите ресурс для покупки:,,,,,
train_window_trade_select_sell,Выберите ресурс для продажи:,,,,,
train_window_trade_button_cancel,Отменить,,,,,
train_window_trade_button_delete,Удалить сделку,,,,,
train_window_funds_header,Средства:,,,,,
,,,,,,
trade_window_ongoing_header,Текущие сделки,,,,,
trade_window_create_trade_button,Создать сделку,,,,,
trade_window_update_trade_button,Обновление сделки,,,,,
trade_window_edit_trade_button,Редактировать,,,,,
trade_window_delete_trade_button,Удалить,,,,,
,,,,,,
unearthing_widget_missing_diggers,Недостаточно шахтеров!,,,,,
unearthing_widget_waiting_diggers,В ожидании шахтеров..,,,,,
unearthing_widget_cancelling,Отмена,,,,,
unearthing_widget_digging,Копает,,,,,
,,,,,,
shop_window_shop_items,Доступные предметы,,,,,
shop_window_sold_out,Продано!,,,,,
shop_window_costs,Стоимость,,,,,
,,,,,,
items_stat_agent_debris_speed,+{0} Скорость расчистки обвалов,,,,,
items_stat_agent_dig_speed,+{0} Скорость копания,,,,,
items_stat_agent_reinforce_speed,+{0} Повышение скорости,,,,,
items_stat_agent_move_speed,+{0} Скорость передвижения,,,,,
items_stat_agent_health_bonus,+{0} Бонус здоровья,,,,,
items_stat_agent_repair_speed,+{0} Скорость ремонта,,,,,
items_stat_agent_revive_speed,+{0} Скорость оживления,,,,,
items_stat_agent_miner_scavenge,Периодически дает вам золото,,,,,
items_stat_agent_prospector_scavenge,Периодически дает вам Инструменты,,,,,
items_stat_agent_mechanic_scavenge,Периодически дает вам Листовой Металл,,,,,
items_stat_agent_extractor_focus,Фокус на опустошенние добытчиков,,,,,
items_stat_agent_harvest_focus,Фокус на сбор урожая,,,,,
items_stat_agent_resource_focus,Фокус на добычу руды,,,,,
items_stat_agent_flamethrower,Сжигает гадов и врагов,,,,,
items_stat_agent_gun,Хороший урон с расстояния,,,,,
items_stat_agent_rifle,Большой урон с расстояния,,,,,
items_stat_agent_shovel_and_shield,Дразнит врагов,,,,,
items_stat_guard_damage,Урон {0},,,,,
items_stat_fire_rate,Скорострельность {0},,,,,
items_stat_guard_range,Радиус {0},,,,,
,,,,,,
,,,,,,
items_stat_coverage_reach,Покрытие +{0},,,,,
items_stat_delivery_slot,Одновременные поставки +{0},,,,,
items_stat_global_storage_small,Глобальное хранение +25,,,,,
items_stat_global_storage_big,Глобальное хранение +50,,,,,
items_stat_less_required_workers,Меньше рабочей силы {0},,,,,
items_stat_production_crit_chance,Шанс получения бонуса производства +{0},,,,,
items_stat_production_delivery_speed,Скорость доставки {0},,,,,
items_stat_production_time,Скорость производства +{0},,,,,
items_stat_quarter_recruit,Найм +{0},,,,,
items_stat_service_tax_income_plus,Налоговый бонус +{0},,,,,
items_stat_service_workers_plus,Гражданский бонус +{0},,,,,
,,,,,,
items_inventory_type_miner,Шахтёрское Снаряжение,,,,,
items_inventory_type_guard,Гвардейское Снаряжение,,,,,
items_inventory_type_prospector,Исследовательское Снаряжение,,,,,
items_inventory_type_mechanic,Снаряжение Механиков,,,,,
items_inventory_type_warehouse,Предметы для складка,,,,,
items_inventory_type_refinery,Предметы для переработки,,,,,
items_inventory_type_service,Предметы обслуживания,,,,,
,,,,,,
,,,,,,
items_rarity_common,Обычный предмет,,,,,
items_rarity_rare,Редкий предмет,,,,,
items_rarity_ultra_rare,Ультра редкий предмет,,,,,
,,,,,,
items_item_more_money_from_service_greater_name,Доход от услуг +,,,,,
items_item_more_money_from_service_greater_desc,Значительно увеличивает бонус к доходу от затрагиваемых жилищ.,,,,,
items_item_more_money_from_service_lesser_name,Доход от услуг,,,,,
items_item_more_money_from_service_lesser_desc,Умеренно увеличивает бонус к доходу от затрагиваемых жилищ.,,,,,
items_item_more_workers_from_service_greater_name,Обслуживание Жителей +,,,,,
items_item_more_workers_from_service_greater_desc,Увеличивает число жителей на +4 для затрагиваемых жилищ.,,,,,
items_item_more_workers_from_service_lesser_name,Обслуживание Жителей,,,,,
items_item_more_workers_from_service_lesser_desc,Увеличивает число жителей на +2 для затрагиваемых жилищ.,,,,,
items_item_service_coverage_greater_name,Охват услуг +,,,,,
items_item_service_coverage_greater_desc,Значительно увеличивает охват обслуживающих Зданий.,,,,,
items_item_service_coverage_lesser_name,Охват услуг,,,,,
items_item_service_coverage_lesser_desc,Умеренно увеличивает охват обслуживающих Зданий.,,,,,
items_item_crit_production_and_efficiency_greater_name,Вероятность изготовления ++,,,,,
items_item_crit_production_and_efficiency_greater_desc,Добавляет 25% шанс произвести дополнительный ресурс и значительно увеличивает скорость производства на предприятии.,,,,,
items_item_crit_production_greater_name,Вероятность изготовления +,,,,,
items_item_crit_production_greater_desc,Добавляет 25% шанс произвести дополнительный ресурс на предприятии.,,,,,
items_item_crit_production_lesser_name,Вероятность изготовления,,,,,
items_item_crit_production_lesser_desc,Добавляет 10% шанс произвести дополнительный ресурс на предприятии.,,,,,
items_item_increase_efficiency_greater_name,Скорость производства +,,,,,
items_item_increase_efficiency_greater_desc,Значительное увеличение скорости производства на предприятии и ускорение поставок.,,,,,
items_item_increase_efficiency_lesser_name,Скорость производства,,,,,
items_item_increase_efficiency_lesser_desc,Умеренное увеличение скорости производства на предприятии и ускорение поставок.,,,,,
items_item_less_workers_needed_greater_name,Сокращение кадров +,,,,,
items_item_less_workers_needed_greater_desc,Значительное снижение потребности в Персонале для Производства.,,,,,
items_item_less_workers_needed_lesser_name,Сокращение кадров,,,,,
items_item_less_workers_needed_lesser_desc,Половина потребности в Персонале для Производства.,,,,,
items_item_delivery_slot_greater_name,Складские поставки +,,,,,
items_item_delivery_slot_greater_desc,Одновременные поставки для склада увеличены на +2.,,,,,
items_item_delivery_slot_lesser_name,Складские поставки,,,,,
items_item_delivery_slot_lesser_desc,Одновременные поставки для склада увеличены на +1.,,,,,
items_item_delivery_slot_and_global_storage_greater_name,Расширение склада,,,,,
items_item_delivery_slot_and_global_storage_greater_desc,"Одновременные поставки увеличиваются на +3, а хранение ВСЕХ хранимых ресурсов на +25, пока применяется к Складу.",,,,,
,,,,,,
items_equipment_debris_speed_name,Бонус Расчистки,,,,,
items_equipment_debris_speed_desc,Значительно увеличивает скорость расчистки обвалов шахтером.,,,,,
items_equipment_dig_speed_name,Бонус раскопок,,,,,
items_equipment_dig_speed_desc,Значительно увеличивает скорость копания шахтера.,,,,,
items_equipment_reinforce_speed_name,Бонус Укрепления,,,,,
items_equipment_reinforce_speed_desc,Значительно увеличивает скорость укрепления шахтера.,,,,,
items_equipment_flamethrower_name,Огнемет,,,,,
items_equipment_flamethrower_desc,"Огнемет, который могут использовать гвардейцы в шахте. Делает устранение гадов огненно успешным.",,,,,
items_equipment_gun_name,Револьвер,,,,,
items_equipment_gun_desc,"Револьвер, который могут использовать гвардейцы в шахте. Хорошо наносит урон на расстоянии.",,,,,
items_equipment_rifle_name,Винтовка,,,,,
items_equipment_rifle_desc,"Винтовка, которую могут использовать гвардейцы в шахте. Отлично наносит урон на расстоянии.",,,,,
items_equipment_shovel_and_shield_name,Лопата и щит,,,,,
items_equipment_shovel_and_shield_desc,"Лопата и щит, которыми храбрые гвардейцы могут размахивать, чтобы заставить ближайших врагов напасть на них первыми.",,,,,
items_equipment_miner_recruit_bonus_name,Набрать бонусных шахтеров,,,,,
items_equipment_miner_recruit_bonus_desc,Наберите дополнительно трех шахтеров на станцию с помощью силы дружбы.,,,,,
items_equipment_prospector_recruit_bonus_name,Набрать бонусных исследователей,,,,,
items_equipment_prospector_recruit_bonus_desc,Наберите дополнительно трех Исследователей на станцию с помощью силы дружбы.,,,,,
items_equipment_mechanic_recruit_bonus_name,Набрать бонусных Механиков,,,,,
items_equipment_mechanic_recruit_bonus_desc,Наберите дополнительно трех Механиков на станцию с помощью силы дружбы.,,,,,
items_equipment_guard_recruit_bonus_name,Набрать бонусных Гвардейцев,,,,,
items_equipment_guard_recruit_bonus_desc,Наберите дополнительно трех Гвардейцев на станцию с помощью силы дружбы.,,,,,
items_equipment_repair_speed_name,Бонус к Ремонту Машины,,,,,
items_equipment_repair_speed_desc,Значительно увеличивает скорость ремонта машин механиком.,,,,,
items_equipment_revive_speed_name,Бонус Оживления Стимботов,,,,,
items_equipment_revive_speed_desc,Значительно увеличивает скорость оживления стимботов механиком.,,,,,
items_equipment_extractor_focus_name,Дежурный по Добытчикам,,,,,
items_equipment_extractor_focus_desc,Делает высшим приоритетом Исследователя опустошение машин Добытчиков.,,,,,
items_equipment_harvest_focus_name,Дежурный по сбору,,,,,
items_equipment_harvest_focus_desc,Делает высшим приоритетом Исследователя сбор Грибов.,,,,,
items_equipment_resource_focus_name,Дежурный по Ресурсам,,,,,
items_equipment_resource_focus_desc,Делает высшим приоритетом Исследователя опустошение машин Добытчиков.,,,,,
items_equipment_miner_scavenge_name,Шахтерское Проглотство,,,,,
items_equipment_miner_scavenge_desc,Шахтер будет периодически находить для вас золото.,,,,,
items_equipment_mechanic_scavenge_name,Механизированное Проглотство,,,,,
items_equipment_mechanic_scavenge_desc,Механик периодически будет находить для вас листовой металл.,,,,,
items_equipment_prospector_scavenge_name,Исследовательское Проглотство,,,,,
items_equipment_prospector_scavenge_desc,Исследователь будет периодически находить для вас инструменты.,,,,,
items_equipment_prospector_move_speed_name,Скорость Исследователя,,,,,
items_equipment_prospector_move_speed_desc,Значительно увеличивает скорость передвижения Исследователя.,,,,,
,,,,,,
items_shop_more_money_from_service_greater_desc,Предмет обслуживания<br>Бонус к налогу +150%,,,,,
items_shop_more_money_from_service_lesser_desc,Предмет обслуживания<br>Бонус к налогу +50%,,,,,
items_shop_more_workers_from_service_greater_desc,Предмет обслуживания<br>Бонус Граждан +4,,,,,
items_shop_more_workers_from_service_lesser_desc,Предмет обслуживания<br>Бонус Граждан +2,,,,,
items_shop_service_coverage_greater_desc,Предмет обслуживания<br>Покрытие +30,,,,,
items_shop_service_coverage_lesser_desc,Предмет обслуживания<br>Покрытие +15,,,,,
items_shop_crit_production_and_efficiency_greater_desc,Предмет Производства<br>Бонусный шанс изготовления +25% и скорость производства +75%,,,,,
items_shop_crit_production_greater_desc,Предмет Производства<br>Бонусный шанс изготовления +25%,,,,,
items_shop_crit_production_lesser_desc,Предмет Производства<br>Бонусный шанс изготовления +15%,,,,,
items_shop_increase_efficiency_greater_desc,Предмет Производства<br>Скорость производства +75%,,,,,
items_shop_increase_efficiency_lesser_desc,Предмет Производства<br>Скорость производства +50%,,,,,
items_shop_less_workers_needed_greater_desc,Предмет Производства<br>Сокращение кадров 90%,,,,,
items_shop_less_workers_needed_lesser_desc,Предмет Производства<br>Сокращение кадров 50%,,,,,
items_shop_delivery_slot_greater_desc,Предмет склада<br>Одновременные поставки +2,,,,,
items_shop_delivery_slot_lesser_desc,Предмет склада<br>Одновременные поставки +1,,,,,
items_shop_delivery_slot_and_global_storage_greater_desc,Предмет склада<br>Одновременные поставки +3 и Глобальное хранение +25,,,,,
items_shop_equipment_debris_speed_desc,Шахтерское снаряжение<br>Бонус к расчистке Обвалов,,,,,
items_shop_equipment_dig_speed_desc,Шахтерское снаряжение<br>Бонус к скорости копания,,,,,
items_shop_equipment_reinforce_speed_desc,Шахтерское снаряжение<br>Бонус к скорости Усиления,,,,,
items_shop_equipment_flamethrower_desc,Гвардейское снаряжение<br>Сжигает гадов,,,,,
items_shop_equipment_gun_desc,Гвардейское снаряжение<br>Хороший урон с расстояния,,,,,
items_shop_equipment_rifle_desc,Гвардейское снаряжение<br>Большой урон с расстояния,,,,,
items_shop_equipment_shovel_and_shield_desc,Гвардейское снаряжение<br>Дразнит врагов,,,,,
items_shop_equipment_miner_recruit_bonus_desc,Шахтерское снаряжение<br>Набирает +3 бонусных Шахтеров,,,,,
items_shop_equipment_prospector_recruit_bonus_desc,Снаряжение Исследователя<br>Набирает +3 бонусных Исследователей,,,,,
items_shop_equipment_mechanic_recruit_bonus_desc,Снаряжение Механика<br>Набирает +3 бонусных Механиков,,,,,
items_shop_equipment_guard_recruit_bonus_desc,Гвардейское снаряжение<br>Набирает +3 бонусных Гвардейцев,,,,,
items_shop_equipment_repair_speed_desc,Снаряжение Механика<br>Бонус к Ремонту Машины,,,,,
items_shop_equipment_revival_speed_desc,Снаряжение Механика<br>Бонус к Оживлению Стимботов,,,,,
items_shop_equipment_extractor_focus_desc,Снаряжение Исследователя<br>Фокус на опустошенние добытчиков,,,,,
items_shop_equipment_harvest_focus_desc,Снаряжение Исследователя<br>Фокус на сбор урожая,,,,,
items_shop_equipment_resource_focus_desc,Снаряжение Исследователя<br>Фокус на добычу руды,,,,,
items_shop_equipment_miner_scavenge_desc,Шахтерское снаряжение<br>Периодически находит золото,,,,,
items_shop_equipment_prospector_scavenge_desc,Снаряжение Исследователя<br>Периодически находит Инструменты,,,,,
items_shop_equipment_mechanic_scavenge_desc,Снаряжение Механика<br>Периодически находит листовой металл,,,,,
items_shop_equipment_prospector_move_speed_desc,Снаряжение Исследователя<br>Скорость передвижения +66%,,,,,
,,,,,,
items_shop_trade_gold_name,Золото,,,,,
items_shop_trade_gold_desc,15x Золото,,,,,
items_shop_trade_rubies_name,Рубины,,,,,
items_shop_trade_rubies_desc,3x Рубины,,,,,
,,,,,,
city_level_grand_canyon_name,Великий овраг,,,,,
city_level_grand_canyon_desc,"Должно быть, это самая большая дыра в мире! Словно большая змея протянулась через весь континент. Лучше убедиться, что мы не строим слишком близко к краю.",,,,,
city_level_las_vegas_name,Дюны Хайроллера,,,,,
city_level_las_vegas_desc,"Люди приезжали со всего мира, чтобы играть здесь на свои деньги! За одну ночь были нажиты и потеряны состояния - ну, в основном потеряны. <br><br>Много неоновых вывесок валяется повсюду. Должно быть, это было довольно оживленное место.",,,,,
city_level_area_51_name,Место крушения,,,,,
city_level_area_51_desc,"Это просто метеорологический шар, который разбился. А может это болотный газ. Идем дальше. Здесь не на что смотреть.",,,,,
city_level_jurassic_park_name,Парк окаменелостей,,,,,
city_level_jurassic_park_desc,"Кто-то нашел особого комара внутри янтаря. По рассказам, он пробудил ранее вымерший вид крупных рептилий. <br><br>Наверное, это было очень давно. Остались лишь старые кости и куча пыли.",,,,,
city_level_skull_valley_name,Долина черепов,,,,,
city_level_skull_valley_desc,"Некоторые говорят, что когда-то здесь находился великий океан. Ныне все высохло. <br><br>Все, что раньше плавало, теперь разбросано по земле и засыпано песком. Если прислушаться, то можно едва услышать старую морскую песенку на ветру...",,,,,
city_level_hollywood_name,Тамблтон,,,,,
city_level_hollywood_desc,"Если вы были кое-кем, вы жили в Тамблтоне. Вспышки фотокамер освещали вечера. По улицам ходили боты высочайшего качества, и каждый день прибывали новые участники в надежде добиться успеха! <br><br>Сегодня же даже автокинотеатр уже не работает.",,,,,
city_level_unknown_01_name,Ущелье Гиддюп,,,,,
city_level_unknown_01_desc,"Дикий Запад! Пыльный и суровый, он когда-то занимал лишь часть континента. Теперь весь мир - это пыль и камни, кактусы и перекати-поле. <br><br>Он остается тем же символом, которым был всегда - шансом на новое начало!",,,,,
city_level_unknown_02_name,Дорадо-Крест,,,,,
city_level_unknown_02_desc,"Таинственные сооружения и тотемы усеивают пыльный ландшафт. Кто знает, какие тайны здесь похоронены? Конечно, впечатляет, что кто-то мог построить что-то настолько большое, как эти пирамиды. <br><br>Единственное объяснение заключается в том, что они должны были получить помощь... откуда-то еще.",,,,,
,,,,,,
